2026-01-25 17:27:07,719 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 17:30:38,359 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 17:38:21,124 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 17:39:32,726 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 17:41:20,890 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 17:43:38,449 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 17:43:49,799 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 17:44:37,984 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 18:00:56,500 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 18:11:46,363 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 18:12:17,752 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 21:54:02,882 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 22:04:35,329 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 22:04:57,652 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 22:05:16,674 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 22:06:30,959 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
2026-01-25 22:07:01,039 | INFO    | runtime:real_estate_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'real_estate_assistant'
